ExampleA	ExampleA
Reference pedigree	Family tree
0.0147185	4.62571
0.0146839	4.61359
0.0145906	4.56502
0.0143552	4.53186
0.0142459	4.50373
0.0141097	4.34211
0.0141034	4.30661
0.0140331	4.27527
0.0139469	4.24693
0.0138108	4.24326
0.0137947	4.19273
0.0136443	4.18362
0.013312	4.15822
0.0129849	4.12083
0.0129438	4.0472
0.0128594	3.92774
0.0126732	3.87921
0.0126643	3.8592
0.0126245	3.84022
0.012553	3.83171
0.0125029	3.82646
0.0124325	3.80271
0.0124095	3.74596
0.0123802	3.72004
0.0123231	3.70712
0.0122671	3.60074
0.0122514	3.53963
0.0122108	3.51433
0.0121733	3.49693
0.0120848	3.46947
0.0120163	3.39268
0.0120137	3.37321
0.0119655	3.37172
0.0119579	3.35408
0.0118779	3.27972
0.0117907	3.20844
0.0116692	3.19221
0.0113999	3.1672
0.0113378	3.13743
0.0112609	3.1329
0.01124	3.11364
0.0109953	3.07745
0.0109258	3.06639
0.0108343	3.03853
0.0106933	3.02574
0.0106647	3.02433
0.0105843	3.01649
0.0104511	2.94103
0.0104158	2.9327
0.0103004	2.89185
0.0102516	2.83286
0.0101455	2.7696
0.0100755	2.74637
0.0099097	2.74229
0.00989879	2.70147
0.00980633	2.69421
0.00973761	2.68447
0.00972872	2.59782
0.00961863	2.59064
0.00955852	2.53522
0.00947793	2.51072
0.00942929	2.49321
0.00939433	2.47783
0.00919905	2.47678
0.00913754	2.46171
0.00907615	2.40197
0.00891744	2.38891
0.0085909	2.37055
0.0083592	2.36618
0.00826698	2.35952
0.00825834	2.35064
0.0082361	2.31604
0.0081754	2.30762
0.00803449	2.29582
0.00794814	2.29044
0.00793681	2.24225
0.00789333	2.23882
0.00768783	2.22894
0.00759306	2.13695
0.0075888	2.13448
0.00738517	2.10279
0.0072898	2.08945
0.00728521	2.0871
0.00722699	2.08234
0.00713059	2.07544
0.00711533	1.99837
0.00709518	1.98881
0.00706404	1.98823
0.00702877	1.96383
0.00696526	1.96093
0.00696055	1.94481
0.00685279	1.93195
0.00682915	1.91412
0.00672796	1.89821
0.006686	1.89787
0.00659462	1.89539
0.00641887	1.86404
0.00640447	1.84282
0.00636815	1.83819
0.00635425	1.81342
0.0062934	1.81293
0.00627295	1.81017
0.00622919	1.7909
0.00611453	1.7485
0.00608953	1.72711
0.00596801	1.69925
0.00594588	1.66115
0.0058558	1.64882
0.00569081	1.62667
0.00560204	1.62358
0.00551217	1.6232
0.00546845	1.60299
0.00543881	1.56612
0.00541567	1.55795
0.00540912	1.53117
0.00535199	1.51517
0.00533879	1.45232
0.00533071	1.41962
0.00531511	1.41454
0.00529605	1.41336
0.00526206	1.4102
0.00521952	1.4071
0.00517102	1.33524
0.00513109	1.3236
0.0051284	1.30328
0.00511113	1.30059
0.00494218	1.27914
0.00490602	1.26779
0.00486742	1.21814
0.00486068	1.20891
0.00485625	1.20297
0.00484383	1.18905
