Ejemplo_TP	Ejemplo_RP
85.4833	1.91139
85.4762	1.91114
85.3851	1.91098
84.9923	1.90896
84.8784	1.90719
84.8033	1.90619
84.7322	1.90206
84.585	1.89918
84.2835	1.89723
84.251	1.89633
84.2148	1.89261
83.99	1.8916
83.9785	1.88943
83.8766	1.88526
83.8285	1.88309
83.7253	1.87996
83.581	1.87353
83.3845	1.87331
83.3741	1.86622
83.1463	1.85936
83.0828	1.85851
83.0681	1.85829
83.0175	1.85685
83.0048	1.85675
82.5621	1.8564
82.5116	1.85581
82.4521	1.85522
82.347	1.85421
82.2782	1.85269
81.9381	1.84256
81.7486	1.84212
81.6072	1.83803
81.4297	1.83753
81.3729	1.83598
81.3659	1.83493
81.2353	1.83155
81.194	1.82921
81.1829	1.82647
81.0694	1.82632
80.9277	1.82629
80.8765	1.81875
80.5127	1.8184
80.5046	1.81803
80.4861	1.81788
80.2464	1.81544
80.0981	1.81536
79.992	1.81356
79.843	1.81333
79.8055	1.81029
79.7617	1.80804
79.7598	1.80801
79.7497	1.80688
79.742	1.80679
79.7357	1.80593
79.5608	1.80355
79.5186	1.8022
79.4286	1.80121
79.3446	1.79938
79.3219	1.79868
79.2803	1.79317
79.2299	1.78887
79.2	1.78812
79.0816	1.78652
78.887	1.78421
78.8603	1.78123
78.771	1.78077
78.6472	1.77667
78.5856	1.77385
78.5854	1.76768
78.5543	1.76711
78.4788	1.76685
78.3513	1.76585
78.335	1.76263
78.2387	1.75854
78.1917	1.75727
78.1477	1.75473
77.8092	1.74955
77.7482	1.74898
77.6218	1.74512
77.4978	1.74464
77.3713	1.74449
77.1628	1.74417
77.0947	1.74371
77.0072	1.7437
76.9552	1.7422
76.8105	1.74111
76.5961	1.73573
76.5877	1.73307
76.3912	1.73085
76.3164	1.72891
76.245	1.7273
76.1343	1.72725
75.8427	1.72629
75.7624	1.72422
75.7341	1.72347
75.6487	1.72233
75.6272	1.72118
75.5908	1.72111
75.4624	1.72095
75.4582	1.71941
75.4209	1.71664
75.2709	1.71577
75.1361	1.7147
75.0774	1.71054
75.0287	1.70838
74.9731	1.70676
74.9008	1.70636
74.8954	1.70554
74.8871	1.70472
74.7825	1.7045
74.7489	1.70003
74.7013	1.69971
74.6207	1.69921
74.6195	1.69668
74.5628	1.69362
74.4245	1.69261
74.4074	1.69261
74.3993	1.68679
74.3823	1.68387
74.2506	1.68233
73.8473	1.67728
73.6763	1.67667
73.3774	1.67306
73.3486	1.66913
73.2256	1.6674
73.2077	1.66428
73.0604	1.66061
73.0247	1.65974
72.9722	1.65906
72.8179	1.65879
72.7362	1.65767
72.6748	1.65669
72.6095	1.65587
72.4431	1.65579
72.3267	1.65403
72.2792	1.65325
72.0808	1.65007
72.0359	1.65006
71.936	1.64952
71.895	1.6467
71.8264	1.64571
71.4089	1.64435
71.346	1.64379
71.2785	1.643
71.1603	1.6411
70.9755	1.64067
70.9703	1.64037
70.9352	1.64037
70.9042	1.6378
70.8741	1.63775
70.8172	1.63421
70.6403	1.63378
70.5042	1.63143
70.4869	1.62772
70.4195	1.62571
70.2035	1.62335
70.1704	1.62284
70.1214	1.62093
70.0391	1.62057
70.0222	1.61909
69.991	1.61901
69.9885	1.61863
69.8817	1.61827
69.8612	1.61671
69.7619	1.61597
69.7051	1.61526
69.6856	1.61493
69.6672	1.61457
69.1993	1.61406
69.1295	1.61227
69.0432	1.6115
68.9983	1.60497
68.9184	1.60215
68.8373	1.60172
68.6682	1.60129
68.6567	1.60082
68.6407	1.59958
68.3696	1.59838
68.277	1.59733
68.2364	1.59712
68.0117	1.59412
67.9101	1.59146
67.7818	1.59052
67.7517	1.58902
67.6	1.58737
67.3761	1.5843
67.3744	1.58067
67.3372	1.57968
67.2002	1.57607
66.9005	1.57562
66.8147	1.575
66.7326	1.57493
66.6032	1.57388
66.5454	1.56993
66.438	1.56903
66.3635	1.56627
66.3505	1.56615
66.3365	1.56492
66.0958	1.55328
65.9747	1.55256
65.9257	1.55165
65.9158	1.55146
65.9134	1.55123
65.5668	1.5498
65.4268	1.54806
65.3516	1.54554
65.173	1.54499
65.115	1.54402
65.0548	1.54345
64.9289	1.54292
64.9091	1.54176
64.9014	1.54128
64.839	1.54079
