ExampleB	ExampleB
Reference Pedigree	Family tree
1.21178	88.3663
1.21164	88.1571
1.21042	88.0008
1.20733	87.9444
1.20674	87.8134
1.20601	87.789
1.20581	87.7323
1.20575	87.7279
1.20415	87.7235
1.20239	87.6332
1.2017	87.5033
1.20165	87.4468
1.20157	87.4433
1.2003	87.2141
1.19854	87.12
1.19732	86.8387
1.19709	86.6906
1.1969	86.4309
1.19662	86.3549
1.19607	86.337
1.19607	86.3115
1.195	86.3051
1.19486	85.9046
1.19467	85.6118
1.1946	85.5826
1.19375	85.4713
1.19316	85.3961
1.19303	85.3665
1.19256	85.3438
1.19125	85.2675
1.19088	85.2647
1.19076	85.1998
1.18937	85.0931
1.18896	85.0012
1.18871	84.9029
1.18657	84.8585
1.18625	84.8465
1.18596	84.786
1.18528	84.714
1.1843	84.6667
1.18331	84.5836
1.18238	84.3265
1.18204	84.2667
1.18113	84.1381
1.18048	83.9864
1.18035	83.8068
1.17957	83.6202
1.17907	83.4655
1.17892	83.3855
1.17842	83.3497
1.17711	83.2109
1.17669	83.1657
1.17603	83.1425
1.1748	83.1016
1.17353	82.9428
1.17333	82.9362
1.17171	82.8815
1.17066	82.7182
1.17024	82.7013
1.16992	82.671
1.16957	82.5047
1.16821	82.4559
1.16754	82.3836
1.1656	82.3111
1.16393	82.2439
1.16387	82.2315
1.16211	81.9859
1.15975	81.8
1.15917	81.7212
1.15729	81.3626
1.15688	81.0916
1.1567	80.9752
1.15643	80.9567
1.15621	80.8318
1.15503	80.8183
1.15483	80.5401
1.15385	80.4631
1.15352	80.3536
1.15294	80.3296
1.15124	80.2875
