ExampleD	ExampleD
Reference Pedigree	Family tree
0.0108935	9139470
0.0108601	9135030
0.010832	9129750
0.0108072	9087420
0.0107487	9053580
0.0107427	9051460
0.0107317	9048900
0.0107112	9006230
0.0106896	8982180
0.0106599	8955440
0.0106363	8952720
0.0106261	8941230
0.010558	8917220
0.0105419	8879210
0.01054	8845430
0.010527	8821300
0.0104975	8820830
0.0104797	8760130
0.0104697	8686770
0.0104587	8682020
0.0104014	8676690
0.0103796	8676170
0.0102757	8674500
0.0102689	8607180
0.0100857	8572030
0.0100852	8567810
0.0100402	8559670
0.0100354	8557150
0.0100327	8553600
0.0100284	8539950
0.00996828	8479750
0.00994638	8457780
0.00994629	8451070
0.00992384	8435890
0.00991572	8408040
0.00987171	8379280
0.00986719	8372880
0.00984303	8370000
0.0098238	8369950
0.00968443	8366870
0.00966133	8357140
0.00963773	8345800
0.00960109	8341220
0.00959614	8337310
0.00957794	8320470
0.00955369	8297950
0.00954865	8231820
0.00953974	8193890
0.00952686	8188750
0.00945521	8183720
0.00943753	8168410
0.00940235	8155200
0.00937978	8147140
0.00932889	8145350
0.00924565	8143830
0.00924491	8129080
0.00921829	8128570
0.00919056	8123270
0.0091681	8116130
0.00912291	8114940
0.00909109	8063190
0.0089667	8054810
0.00891171	8043780
0.00889872	8030870
0.00886843	8026540
0.0088525	8005700
0.00883705	7976160
0.00883122	7975630
0.00882606	7969140
0.00878396	7960270
0.008737	7956490
0.00866963	7951750
0.00865713	7945070
0.00860813	7940710
0.00858452	7905270
0.00857841	7883160
0.0085738	7831250
0.00856217	7829570
0.00855987	7826130
0.008533	7820770
0.00851834	7787180
0.00850834	7752100
0.00849324	7737740
0.00848101	7714710
0.00848089	7713280
0.00843608	7710850
0.00841152	7681400
0.00840023	7673430
0.00837985	7645420
0.00837529	7643550
0.00835098	7632160
0.00834564	7586260
0.00833869	7569890
0.00833136	7562830
0.00832915	7544780
0.00832383	7528480
0.00829607	7528220
0.00828495	7499420
0.00827604	7478010
0.00819696	7445400
0.00817739	7432880
0.0081685	7417010
0.00816303	7409590
0.00814424	7407510
0.00813276	7401560
0.00812014	7382660
0.00810976	7341970
0.00809935	7337100
0.00808228	7318360
0.00807963	7302340
0.00804847	7276110
0.00800553	7261850
0.00798527	7204890
0.00796198	7156290
0.00795592	7143010
0.00795093	7127500
0.00790622	7115200
0.00790232	7082110
0.00784807	7057370
0.0078232	7052370
0.00779516	7046730
0.00776595	7028580
0.00772303	7019230
0.00771683	7018430
0.0076802	7007900
0.00764135	6979850
0.00759656	6971560
0.00750315	6970750
0.00747536	6913510
0.00741632	6904730
0.00741109	6891970
0.0073967	6891390
0.00739397	6890060
0.00738143	6844590
0.00734419	6836880
0.00734111	6813490
0.00728958	6789260
0.00725752	6784630
0.00724002	6784460
0.00722377	6784070
0.00719304	6773410
0.00718307	6752580
0.00714793	6727900
0.00711759	6696000
0.00709208	6692820
0.00708182	6688720
0.00706477	6686040
0.0070387	6661510
0.00703279	6658580
0.00701992	6629410
0.00701899	6625050
0.00700433	6624930
0.00700201	6581390
0.00699455	6567440
0.0069372	6547410
0.00693353	6530780
0.0069123	6512630
0.00691034	6496840
0.00689736	6458700
0.00686493	6454410
0.00685784	6453350
0.00683929	6402610
0.00683443	6389550
0.00682446	6386280
0.00679692	6377360
0.0067799	6374020
0.00675544	6313860
0.00675374	6301490
0.00674516	6292940
0.00674183	6258270
0.00671739	6258170
0.00671567	6243940
0.00671417	6165280
0.00671171	6156330
0.00669748	6153560
0.00668777	6147580
0.00665496	6096270
0.00665092	6082160
0.00663663	6063390
0.00661557	6059540
0.00661328	6050390
0.00660666	6045880
0.00660551	6042220
0.00659923	6029910
0.00659776	6003040
0.00658756	5997590
0.00658319	5972500
0.00658265	5965670
0.00657263	5959660
0.00655689	5958390
0.00655492	5953830
0.00655342	5903380
0.00653561	5845130
0.00653161	5840940
0.00652108	5825880
0.00644125	5807780
0.00642224	5792720
0.00641871	5788780
0.00639841	5764870
0.00637577	5760710
0.00635615	5758280
0.00635388	5758010
0.00631472	5733190
0.00629953	5713950
0.0062896	5710170
0.00627534	5692960
0.00624468	5677750
0.00623825	5671730
0.00623092	5665200
0.00622544	5660380
0.0062056	5656900
0.00618837	5653850
0.00616738	5641710
0.00615064	5636090
0.00612625	5631090
0.00611411	5618050
0.00611024	5616420
0.00610319	5609830
0.00609306	5605990
0.00608396	5563250
0.00607601	5555190
0.00605557	5544090
0.00604598	5540620
0.00603065	5518910
0.00602757	5494940
0.00598032	5475910
0.005953	5465080
0.00593029	5463460
0.00587221	5456760
0.00582973	5447220
